Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1,0,2,2,10,2,1,806,0,1,7,0,128080,0.0,13,0,10.0,6,10,0,4,3,3,3.0,3.0,3.0
1,0,2,1,1,2,1,807,1,3,7,0,102210,0.0,19,1,5.0,2,5,1,3,3,3,3.0,3.0,4.0
4,0,2,2,20,3,2,808,1,2,6,1,47790,0.0,14,1,3.0,6,3,1,2,3,3,4.0,3.0,3.0
2,0,2,1,7,2,1,809,1,2,6,1,37370,8.0,22,2,8.0,2,5,0,2,3,4,1.0,2.0,3.0
3,0,2,1,8,4,3,810,0,2,8,1,23660,3.0,17,0,11.0,5,5,1,2,2,3,3.0,3.0,2.0
1,1,1,2,1,3,2,811,1,2,2,2,17060,7.0,12,0,8.0,3,0,0,0,3,3,3.0,1.0,2.0
1,0,2,2,8,4,2,812,1,1,2,0,163070,0.0,16,0,1.0,3,1,0,0,2,3,1.0,3.0,1.0
1,0,1,1,9,3,1,813,0,2,7,2,59330,0.0,11,0,4.0,3,4,1,3,3,3,3.0,1.0,3.0
3,0,2,1,5,4,1,814,0,1,6,1,34240,4.0,11,0,10.0,3,3,1,2,3,3,3.0,1.0,3.0
1,0,1,1,8,1,3,815,1,1,6,1,40370,0.0,14,0,3.0,2,3,0,2,1,3,4.0,2.0,3.0
1,0,2,1,5,1,5,816,1,2,2,1,25590,0.0,11,0,8.0,3,8,1,7,2,3,3.0,2.0,2.0
2,0,2,1,15,4,1,817,0,1,7,2,62010,2.0,15,3,14.0,2,0,0,0,2,3,4.0,3.0,3.0
2,0,2,1,7,3,1,818,0,3,2,2,44030,2.0,20,0,10.0,3,5,0,0,2,4,3.0,4.0,4.0
4,0,1,2,10,3,1,819,0,4,6,0,37610,3.0,12,0,26.0,3,14,1,12,2,3,2.0,4.0,3.0
1,1,2,1,5,3,1,820,0,2,6,2,109340,6.0,17,2,11.0,2,9,0,7,3,3,1.0,1.0,1.0
3,0,2,2,26,1,2,821,1,1,8,1,107610,3.0,11,1,24.0,5,20,14,17,2,3,4.0,1.0,4.0
2,0,2,2,6,1,5,822,0,2,2,2,51750,4.0,17,1,9.0,2,2,2,2,4,3,2.0,2.0,3.0
3,0,2,1,4,2,1,823,1,3,4,1,138260,8.0,11,0,23.0,1,13,5,1,2,3,3.0,2.0,4.0
2,0,2,1,23,4,1,824,1,2,6,2,63340,0.0,14,0,11.0,2,11,3,3,4,3,4.0,2.0,1.0
1,0,2,1,2,4,3,825,0,2,3,2,49360,0.0,19,1,4.0,2,4,1,2,2,3,1.0,3.0,3.0
2,1,2,1,2,3,3,826,1,2,5,2,47750,3.0,15,1,15.0,3,5,1,0,4,3,4.0,1.0,1.0
2,0,2,0,2,3,0,827,1,2,4,1,28180,0.0,13,1,10.0,2,10,8,6,3,3,4.0,3.0,3.0
2,1,1,1,29,3,1,828,0,2,0,2,25150,0.0,14,0,7.0,3,7,7,7,2,3,4.0,3.0,1.0
3,0,1,1,6,3,3,829,1,1,3,2,23420,0.0,12,1,32.0,2,32,13,9,2,3,3.0,4.0,3.0
2,0,2,2,25,5,2,830,0,1,6,1,41940,0.0,17,2,11.0,3,11,5,7,3,3,2.0,3.0,3.0
3,0,2,1,1,3,1,831,0,1,4,1,106850,4.0,11,3,4.0,2,1,0,0,3,3,3.0,2.0,3.0
2,0,2,1,2,2,3,832,1,1,6,1,20220,0.0,12,0,10.0,1,10,3,7,3,3,1.0,4.0,3.0
1,0,2,1,1,3,3,833,0,1,3,1,23140,3.0,13,0,9.0,5,7,0,7,4,3,3.0,1.0,3.0
2,0,2,1,1,1,1,834,1,1,6,2,42560,0.0,13,3,5.0,1,5,0,2,3,3,4.0,2.0,3.0
3,0,2,2,3,3,1,835,1,3,2,1,35800,4.0,20,1,8.0,1,5,0,3,2,4,4.0,4.0,3.0
3,0,1,0,1,4,5,836,1,2,4,1,31620,2.0,17,2,24.0,1,20,13,9,3,3,4.0,4.0,1.0
2,0,2,2,10,1,1,837,0,1,4,1,65240,0.0,13,1,8.0,2,8,7,1,4,3,1.0,1.0,4.0
2,0,2,1,9,3,3,838,0,2,4,1,28990,0.0,17,0,15.0,3,15,5,7,2,3,2.0,3.0,3.0
2,0,2,2,5,5,1,839,1,1,4,2,52310,0.0,12,2,21.0,4,21,7,7,3,3,3.0,4.0,3.0
1,0,2,2,10,2,2,840,1,1,4,0,23560,0.0,13,0,1.0,5,1,0,0,3,3,3.0,1.0,3.0
2,0,0,1,7,3,3,841,1,1,6,0,28000,3.0,12,2,8.0,0,2,2,2,2,3,4.0,4.0,3.0
3,0,2,1,4,3,3,842,0,3,2,0,118360,0.0,22,0,10.0,2,10,7,7,4,4,1.0,2.0,3.0
2,0,2,1,10,1,1,843,1,1,0,1,109030,0.0,11,0,5.0,3,5,4,2,4,3,2.0,3.0,3.0
2,0,2,1,22,4,3,844,1,1,7,1,29730,3.0,22,0,12.0,0,7,2,5,4,4,4.0,2.0,3.0
2,0,2,2,9,3,2,845,0,4,6,2,142750,3.0,18,1,7.0,5,3,1,2,2,3,3.0,4.0,2.0
3,0,2,1,12,4,3,846,1,1,2,0,55620,8.0,13,1,18.0,2,8,7,7,3,3,3.0,3.0,3.0
1,0,2,1,23,4,1,847,0,2,0,1,45370,6.0,18,1,5.0,5,1,0,0,4,3,,3.0,2.0
2,0,2,1,9,1,3,848,1,1,0,1,76420,2.0,20,1,8.0,2,2,2,2,2,4,1.0,1.0,1.0
1,1,2,1,1,3,4,849,1,3,7,1,179240,0.0,13,2,10.0,2,10,6,7,3,3,2.0,1.0,3.0
2,0,1,2,9,3,2,850,1,1,4,1,52040,3.0,13,1,10.0,2,6,1,2,3,3,3.0,3.0,3.0
2,0,2,2,7,2,1,851,1,1,7,2,22770,0.0,12,1,3.0,2,3,1,2,3,3,4.0,1.0,3.0
1,0,2,1,14,3,5,852,1,5,5,1,27950,3.0,13,0,9.0,4,4,1,3,3,3,3.0,2.0,3.0
2,1,2,1,2,3,3,853,0,1,6,0,25320,0.0,13,0,1.0,2,1,0,0,1,3,1.0,1.0,3.0
4,1,2,1,19,3,1,854,1,2,3,1,25590,0.0,25,0,33.0,2,33,1,9,3,4,3.0,4.0,3.0
2,1,2,1,2,3,3,855,0,3,7,1,49080,4.0,19,1,7.0,3,5,1,4,2,3,3.0,2.0,3.0
2,0,0,1,10,4,1,856,0,5,6,1,23800,4.0,13,0,9.0,5,6,1,2,3,3,4.0,1.0,2.0
3,0,2,1,2,5,1,857,1,1,7,1,47650,8.0,12,1,10.0,4,8,7,6,3,3,3.0,1.0,2.0
2,0,2,1,3,3,1,858,1,2,7,2,20440,0.0,11,0,1.0,2,1,0,0,3,3,1.0,4.0,1.0
4,0,2,1,11,1,3,859,0,1,2,1,26930,0.0,18,0,36.0,6,36,2,13,2,3,3.0,4.0,3.0
2,0,2,1,2,2,1,860,1,2,6,1,65860,9.0,18,1,9.0,3,2,2,1,3,3,2.0,,2.0
1,0,2,1,4,3,1,861,1,1,5,1,32940,0.0,11,0,1.0,6,1,0,0,3,3,1.0,4.0,3.0
2,0,2,2,14,2,2,862,0,1,7,1,41710,0.0,23,0,9.0,4,9,7,7,4,4,3.0,2.0,
2,0,2,1,2,3,1,863,0,1,4,2,27780,2.0,13,0,8.0,5,3,1,2,2,3,2.0,2.0,4.0
2,0,2,0,1,3,0,864,1,1,6,2,23770,6.0,13,2,15.0,3,1,0,0,3,3,2.0,3.0,3.0
1,0,2,1,10,3,1,865,1,1,8,2,24040,0.0,17,0,10.0,3,10,1,5,2,3,2.0,1.0,3.0
2,0,2,2,12,2,1,866,0,2,7,2,23180,3.0,19,0,10.0,4,5,0,4,4,3,1.0,3.0,3.0
2,0,2,2,2,2,3,867,0,1,7,1,20080,2.0,12,0,11.0,3,7,7,6,3,3,4.0,3.0,3.0
1,0,1,1,5,1,3,868,0,1,6,0,62440,0.0,22,0,6.0,3,6,1,3,3,4,1.0,4.0,4.0
3,0,2,1,4,2,3,869,0,1,2,1,27990,4.0,12,1,27.0,0,1,0,0,1,3,3.0,3.0,3.0
1,0,2,1,7,2,1,870,0,3,3,1,105520,2.0,11,0,4.0,2,2,2,2,3,3,4.0,3.0,3.0
2,0,1,2,21,3,1,871,1,2,1,1,23290,3.0,15,0,9.0,2,3,0,2,3,3,1.0,1.0,3.0
3,0,2,1,8,2,1,872,0,5,3,2,40140,8.0,13,1,24.0,3,1,0,1,3,3,4.0,4.0,3.0
2,0,2,2,4,3,3,873,0,2,2,1,74030,0.0,12,1,10.0,4,10,6,8,3,3,2.0,3.0,2.0
2,0,1,1,25,1,1,874,0,1,3,1,22590,0.0,14,0,8.0,2,8,7,7,3,3,4.0,3.0,2.0
2,0,2,1,1,4,1,875,1,2,2,1,69320,0.0,13,0,5.0,5,5,1,2,3,3,4.0,1.0,3.0
3,0,2,1,1,1,4,876,1,1,3,0,46780,5.0,25,1,8.0,0,6,0,2,4,4,4.0,2.0,3.0
2,0,2,2,6,3,2,877,0,3,8,1,135820,0.0,17,1,1.0,3,1,0,1,2,3,3.0,4.0,2.0
3,0,2,1,12,4,5,878,1,1,2,2,23320,1.0,11,0,27.0,2,26,0,12,3,3,4.0,1.0,1.0
1,1,2,0,1,3,3,879,0,2,2,1,24130,0.0,16,1,1.0,2,1,0,0,3,3,3.0,2.0,3.0
1,0,0,2,17,2,2,880,1,3,7,1,97050,0.0,18,2,4.0,3,4,1,3,2,3,2.0,3.0,2.0
3,0,1,1,3,3,4,881,1,2,6,1,42940,2.0,20,0,32.0,2,30,12,13,2,4,2.0,3.0,3.0
2,0,2,1,3,2,1,882,1,3,6,1,47210,3.0,14,1,6.0,3,3,0,2,3,3,2.0,4.0,3.0
3,0,2,1,10,3,5,883,1,3,3,0,25190,0.0,21,2,22.0,2,22,1,10,3,4,2.0,4.0,2.0
1,0,2,1,4,3,3,884,0,1,5,1,21210,0.0,13,1,6.0,2,6,1,1,3,3,2.0,2.0,2.0
3,0,2,2,29,2,5,885,0,2,6,2,29730,0.0,12,0,10.0,2,10,1,4,3,3,3.0,1.0,3.0
3,0,0,2,2,4,1,886,1,2,4,1,58550,0.0,14,1,10.0,3,10,4,5,2,3,1.0,1.0,3.0
2,0,1,1,7,3,3,887,1,2,6,2,36170,7.0,21,1,10.0,5,5,0,3,3,4,4.0,1.0,3.0
2,0,2,1,18,1,3,888,1,2,4,1,67250,9.0,17,1,7.0,3,3,1,1,3,3,3.0,3.0,3.0
2,0,1,2,28,4,2,889,1,5,4,0,103250,0.0,11,1,9.0,3,9,7,2,2,3,3.0,4.0,3.0
3,0,2,1,1,4,1,890,1,3,0,1,69490,1.0,14,1,10.0,2,9,1,4,3,3,3.0,1.0,2.0
2,0,2,1,6,2,1,891,1,3,6,1,106090,2.0,17,1,10.0,2,7,7,7,3,3,2.0,1.0,3.0
1,0,2,1,2,1,1,892,1,4,6,0,44470,0.0,13,0,7.0,4,7,0,7,3,3,4.0,1.0,3.0
2,0,2,1,2,3,3,893,0,2,7,1,21570,0.0,25,0,16.0,1,16,1,10,2,4,2.0,1.0,3.0
1,0,2,1,23,3,1,894,1,3,4,0,46010,0.0,15,2,5.0,2,5,0,0,3,3,2.0,1.0,2.0
1,0,2,1,3,1,1,895,0,1,2,2,170990,1.0,14,1,3.0,2,2,2,2,3,3,3.0,4.0,3.0
1,1,1,1,3,5,3,896,1,1,5,2,24790,0.0,12,1,0.0,2,0,0,0,2,3,2.0,4.0,4.0
3,0,2,1,25,4,3,897,1,2,6,1,148520,3.0,19,3,27.0,3,5,1,0,2,3,4.0,3.0,3.0
2,0,2,2,2,4,1,898,1,1,2,0,72640,0.0,17,0,10.0,5,10,0,7,3,3,3.0,3.0,3.0
2,0,2,1,22,1,1,899,1,1,2,1,56660,0.0,14,1,18.0,2,18,14,12,3,3,1.0,3.0,3.0
2,0,0,1,29,3,3,900,0,2,7,1,78230,1.0,13,1,15.0,3,14,2,9,3,3,3.0,3.0,3.0
2,0,2,1,29,4,5,901,1,1,2,1,78800,3.0,12,1,9.0,2,4,0,2,4,3,3.0,3.0,2.0
2,0,1,1,2,3,5,902,0,2,3,2,131940,0.0,11,0,9.0,2,9,3,8,3,3,1.0,3.0,1.0
3,0,2,1,28,3,1,903,0,2,2,0,50670,0.0,11,2,10.0,3,10,3,9,2,3,4.0,4.0,3.0
2,0,2,1,2,4,1,904,0,3,7,1,50790,3.0,11,0,10.0,3,5,0,2,3,3,4.0,3.0,4.0
2,1,2,1,2,3,1,905,1,3,0,1,23210,9.0,12,1,15.0,0,13,6,0,3,3,4.0,1.0,3.0
2,0,2,1,22,3,1,906,0,2,0,1,174440,0.0,14,0,8.0,4,8,7,7,3,3,2.0,2.0,1.0
2,0,2,1,8,3,5,907,0,2,0,2,24040,6.0,17,0,18.0,2,4,3,3,2,3,3.0,4.0,2.0
3,0,1,2,2,2,2,908,1,1,2,1,34520,4.0,11,1,14.0,2,10,0,2,2,3,1.0,4.0,3.0
3,0,1,2,10,4,2,909,0,3,3,1,22700,2.0,14,3,23.0,2,2,2,2,3,3,3.0,4.0,3.0
2,1,2,1,9,3,1,910,1,2,3,0,173990,6.0,12,0,7.0,3,2,2,2,1,3,,4.0,2.0
1,0,1,1,15,3,1,911,1,2,6,2,54880,0.0,22,1,6.0,6,6,1,3,3,4,1.0,4.0,3.0
1,0,2,2,10,4,1,912,1,3,7,1,194190,7.0,14,1,5.0,2,3,0,2,1,3,2.0,3.0,3.0
1,0,1,1,7,3,1,913,1,1,6,2,28110,2.0,20,0,6.0,3,4,1,2,3,4,4.0,4.0,2.0
2,1,2,2,16,4,2,914,1,1,5,2,36330,3.0,16,2,10.0,0,4,0,3,3,3,1.0,1.0,1.0
1,0,2,1,20,1,3,915,0,2,3,2,41630,9.0,15,1,8.0,4,5,1,4,2,3,3.0,3.0,3.0
2,0,2,1,23,3,1,916,0,3,7,1,21320,4.0,20,0,9.0,1,3,0,2,2,4,2.0,1.0,3.0
1,0,1,2,5,1,2,917,1,4,4,0,139730,0.0,14,0,7.0,3,7,0,7,2,3,4.0,3.0,3.0
2,0,2,2,10,3,2,918,0,2,5,1,26840,4.0,12,0,7.0,2,5,1,0,3,3,4.0,2.0,3.0
3,0,2,2,4,2,1,919,1,2,5,1,108450,3.0,24,0,27.0,4,4,1,2,2,4,1.0,2.0,3.0
3,0,2,1,2,2,3,920,1,3,7,0,43770,5.0,12,1,19.0,2,14,1,11,2,3,4.0,1.0,3.0
1,0,2,1,18,4,3,921,0,2,7,2,37430,0.0,13,1,2.0,2,2,2,2,3,3,3.0,3.0,3.0
2,0,2,1,10,3,3,922,1,3,2,0,41480,0.0,11,0,11.0,3,11,7,9,3,3,4.0,2.0,3.0
2,0,2,1,1,3,1,923,0,2,0,2,10510,2.0,14,0,15.0,2,4,1,3,3,3,1.0,2.0,3.0
3,0,2,0,6,2,1,924,0,2,6,1,107390,2.0,11,3,30.0,3,15,2,12,3,3,3.0,3.0,3.0
2,0,0,1,8,4,1,925,1,4,2,1,103880,0.0,14,0,3.0,2,3,1,2,3,3,4.0,3.0,3.0
2,0,2,1,2,2,3,926,0,2,0,0,114160,6.0,16,0,13.0,2,5,0,4,3,3,4.0,1.0,3.0
4,0,2,2,24,3,2,927,1,1,2,1,26000,3.0,14,0,36.0,5,10,4,7,3,3,2.0,3.0,3.0
3,0,2,1,2,4,1,928,0,1,6,1,24220,0.0,11,1,14.0,2,14,6,11,3,3,3.0,3.0,3.0
2,1,1,1,17,4,3,929,1,1,5,2,54720,3.0,11,1,13.0,3,11,6,7,2,3,4.0,4.0,4.0
2,0,1,1,19,2,1,930,1,2,6,1,24510,7.0,12,1,19.0,3,13,2,9,3,3,4.0,4.0,4.0
1,0,2,1,1,2,3,931,1,2,8,0,42400,0.0,14,0,10.0,2,10,0,9,2,3,1.0,2.0,2.0
2,0,2,1,7,3,3,932,1,5,7,0,109990,0.0,18,3,6.0,3,6,0,4,2,3,4.0,4.0,3.0
2,0,2,1,28,4,5,934,0,2,7,1,127420,0.0,11,0,10.0,4,10,0,2,2,3,1.0,4.0,3.0
3,0,2,1,2,4,3,935,1,1,2,0,42270,4.0,18,0,17.0,3,2,2,2,2,3,4.0,1.0,2.0
2,0,1,2,29,2,3,936,0,1,7,2,39170,0.0,15,3,4.0,2,4,3,3,3,3,4.0,2.0,3.0
3,0,2,1,1,4,3,937,1,3,2,0,183030,6.0,22,1,29.0,2,3,1,2,2,4,2.0,2.0,3.0
3,0,2,1,21,3,3,938,1,2,4,2,23800,4.0,13,0,23.0,3,8,0,0,1,3,3.0,3.0,3.0
3,0,2,1,24,4,1,939,0,4,3,2,137260,3.0,12,0,21.0,6,2,0,2,4,3,4.0,3.0,3.0
1,0,2,1,1,3,1,940,1,1,8,2,47770,0.0,18,1,2.0,3,2,0,2,3,3,4.0,1.0,3.0
2,0,0,1,18,2,3,941,0,2,0,0,63850,1.0,13,0,7.0,6,6,1,2,2,3,3.0,4.0,3.0
2,0,2,1,2,2,5,942,1,3,7,1,199730,6.0,12,0,10.0,2,3,0,2,3,3,1.0,3.0,2.0
3,0,2,1,9,3,5,943,0,3,0,0,68610,4.0,12,0,8.0,2,2,2,2,2,3,3.0,4.0,3.0
1,1,2,0,6,3,1,944,0,3,2,2,49690,0.0,12,0,5.0,3,5,1,2,3,3,4.0,3.0,3.0
2,0,2,1,11,2,1,945,1,1,7,1,198450,7.0,11,1,7.0,3,0,0,0,3,3,4.0,3.0,2.0
4,0,2,1,24,3,1,946,1,4,5,1,133200,3.0,11,0,11.0,2,4,1,2,3,3,2.0,4.0,3.0
3,1,1,2,10,2,2,947,1,1,0,1,63470,2.0,12,1,19.0,3,9,7,7,1,3,4.0,3.0,3.0
2,1,2,2,1,3,1,948,1,2,6,2,27430,0.0,19,1,1.0,2,1,0,0,3,3,4.0,2.0,3.0
1,0,0,1,18,2,3,949,1,1,1,2,108800,0.0,23,1,7.0,5,7,5,7,3,4,4.0,4.0,3.0
4,0,2,1,23,1,1,950,1,5,2,0,23420,5.0,11,2,8.0,2,4,1,2,3,3,1.0,2.0,3.0
2,0,2,2,28,3,1,951,0,2,6,1,176500,0.0,19,1,15.0,6,15,4,13,1,3,2.0,4.0,4.0
4,0,2,2,17,4,3,952,1,1,3,0,40250,3.0,13,1,19.0,5,1,0,0,2,3,3.0,4.0,4.0
2,0,2,2,3,3,1,953,1,3,3,1,97250,0.0,11,0,14.0,0,14,2,13,3,3,2.0,2.0,3.0
2,0,1,1,13,3,1,954,1,1,2,0,119040,0.0,12,1,6.0,4,6,1,3,3,3,3.0,4.0,2.0
2,0,2,1,7,2,1,955,1,1,0,1,21770,0.0,13,0,10.0,5,10,8,7,3,3,2.0,4.0,3.0
1,1,2,1,12,2,3,956,1,2,6,0,75250,0.0,14,2,3.0,2,3,0,2,3,3,3.0,4.0,3.0
3,0,2,0,1,3,1,957,1,1,6,1,48340,1.0,14,0,9.0,1,8,6,7,4,3,3.0,4.0,3.0
2,0,1,1,13,3,1,958,1,3,7,2,20420,0.0,16,0,5.0,2,5,1,4,3,3,1.0,4.0,4.0
3,0,2,1,25,4,1,959,1,2,7,1,22200,0.0,11,0,10.0,2,10,8,8,1,3,4.0,4.0,3.0
1,0,2,1,6,3,1,960,1,3,7,1,10520,0.0,13,0,5.0,3,5,0,4,3,3,3.0,3.0,3.0
3,0,2,2,6,4,2,961,1,1,6,2,28210,0.0,17,0,10.0,3,10,8,7,3,3,4.0,3.0,3.0
1,0,2,1,2,2,1,962,1,2,6,1,192370,9.0,11,1,9.0,2,5,1,2,3,3,4.0,3.0,3.0
2,0,2,0,1,4,1,963,0,3,6,2,41070,3.0,11,1,17.0,2,13,6,7,1,3,3.0,4.0,2.0
3,0,0,2,2,3,1,964,0,2,4,1,83960,3.0,15,2,25.0,3,23,14,4,2,3,3.0,3.0,2.0
1,1,2,2,6,2,3,965,0,2,3,1,20070,0.0,12,0,1.0,2,1,0,0,2,3,4.0,3.0,3.0
3,1,1,1,1,3,3,966,0,2,7,1,196270,7.0,11,2,25.0,1,23,14,10,3,3,3.0,3.0,1.0
1,0,2,1,9,1,3,967,1,1,7,1,106860,0.0,14,1,3.0,2,3,0,2,3,3,4.0,3.0,4.0
3,0,2,1,1,4,1,968,1,1,5,2,29420,0.0,22,1,21.0,4,21,8,6,3,4,4.0,2.0,3.0
2,0,1,2,1,1,2,969,1,2,2,1,88580,6.0,16,1,10.0,2,5,1,3,3,3,1.0,3.0,2.0
2,0,2,1,14,2,1,970,1,1,7,1,167560,1.0,11,2,6.0,5,5,0,3,3,3,2.0,3.0,4.0
3,0,0,2,2,2,3,971,1,2,6,1,107980,6.0,14,2,10.0,5,3,1,2,1,3,3.0,2.0,3.0
2,0,2,1,22,2,5,972,1,1,0,1,23230,2.0,16,1,18.0,2,1,0,0,3,3,2.0,1.0,3.0
1,0,2,1,3,3,1,973,0,1,6,0,14160,0.0,15,1,6.0,3,6,1,2,2,3,2.0,1.0,4.0
3,0,2,1,6,3,3,974,1,4,7,2,46150,6.0,12,0,19.0,3,10,0,9,2,3,3.0,2.0,3.0
2,0,2,2,8,4,1,975,1,1,2,1,24610,2.0,20,1,17.0,4,7,0,7,3,4,4.0,3.0,3.0
1,0,2,2,9,4,2,976,1,1,2,1,87220,0.0,17,1,10.0,3,10,0,8,3,3,2.0,4.0,2.0
3,0,0,1,3,2,1,977,0,2,7,1,39550,7.0,12,1,4.0,5,1,0,0,3,3,3.0,2.0,1.0
3,0,2,1,1,4,5,978,0,3,7,0,99570,4.0,20,0,13.0,1,10,0,3,3,4,3.0,4.0,2.0
2,1,2,1,1,3,3,979,1,2,4,0,33760,5.0,20,0,16.0,3,2,2,2,3,4,2.0,1.0,3.0
2,1,2,1,26,3,3,980,0,2,5,2,88230,6.0,13,2,10.0,3,0,0,0,3,3,1.0,2.0,3.0
1,0,2,2,6,4,1,981,1,3,4,2,103220,0.0,14,2,3.0,2,3,1,2,3,3,3.0,2.0,1.0
2,0,1,2,3,3,2,982,1,2,7,2,46210,2.0,18,1,9.0,3,5,1,4,3,3,4.0,4.0,2.0
2,0,0,1,3,3,1,983,0,2,4,1,109760,0.0,11,0,9.0,3,9,5,8,2,3,4.0,4.0,3.0
2,0,2,1,6,3,5,984,1,1,6,1,36600,3.0,11,2,10.0,0,4,0,2,2,3,4.0,3.0,1.0
2,0,2,2,6,3,1,985,1,3,4,2,104820,0.0,11,1,21.0,6,21,12,8,2,3,2.0,2.0,2.0
3,0,2,1,19,4,3,986,1,1,8,1,71190,4.0,15,0,9.0,2,5,0,3,3,3,3.0,3.0,4.0
1,0,1,2,9,3,1,987,1,1,5,2,95820,0.0,12,1,9.0,2,9,0,7,3,3,4.0,1.0,3.0
1,0,1,2,3,4,2,988,1,1,7,1,45080,0.0,11,1,2.0,5,2,2,1,3,3,1.0,4.0,
1,1,1,1,10,3,1,989,0,1,1,0,22070,6.0,14,0,6.0,4,4,1,2,3,3,3.0,4.0,2.0
2,0,2,1,3,2,1,990,1,3,2,1,77560,1.0,15,2,6.0,3,5,0,2,4,3,1.0,3.0,3.0
1,0,2,2,3,3,1,991,1,1,3,2,66940,0.0,13,1,6.0,2,6,1,4,2,3,3.0,4.0,2.0
1,1,2,2,4,3,2,992,1,5,6,2,36910,0.0,13,0,2.0,3,2,2,2,3,3,2.0,2.0,3.0
1,0,1,1,8,4,1,993,0,1,7,2,23770,8.0,21,1,10.0,2,3,0,2,3,4,4.0,3.0,4.0
1,0,2,2,7,3,1,994,1,3,7,0,23130,2.0,11,0,12.0,5,7,1,7,3,3,3.0,1.0,3.0
2,0,2,1,1,2,3,995,0,2,0,1,176650,0.0,11,0,5.0,5,5,1,2,2,3,4.0,4.0,3.0
2,0,0,1,2,4,3,996,1,1,8,2,25960,8.0,14,1,13.0,4,11,1,7,3,3,4.0,2.0,2.0
3,0,2,2,3,4,2,997,1,1,7,2,47280,3.0,11,1,8.0,4,5,0,4,3,3,4.0,4.0,4.0
2,1,2,1,10,3,1,998,1,1,7,2,43020,2.0,13,0,11.0,3,0,0,0,1,3,1.0,1.0,2.0
2,0,1,1,28,3,3,999,1,1,0,1,29790,4.0,12,1,9.0,3,6,0,5,3,3,3.0,2.0,2.0
2,1,2,0,9,4,0,1000,1,2,2,1,168850,2.0,14,2,10.0,2,1,0,0,3,3,1.0,3.0,3.0
1,0,2,1,3,4,4,1001,0,2,8,0,55930,0.0,13,1,1.0,3,1,0,0,3,3,4.0,1.0,3.0
1,0,2,1,2,1,3,1002,1,1,8,1,104450,3.0,18,1,10.0,3,7,1,7,3,3,3.0,3.0,3.0
2,0,0,1,10,4,1,1003,0,1,2,2,87400,2.0,11,1,12.0,2,7,0,7,3,3,2.0,2.0,3.0
2,0,2,1,8,2,5,1004,0,1,4,1,25140,3.0,11,0,15.0,2,1,1,0,2,3,2.0,4.0,3.0
3,1,1,1,1,4,4,1005,1,3,7,1,76550,9.0,12,1,6.0,3,1,0,0,3,3,3.0,3.0,3.0
3,0,2,0,1,3,4,1006,0,1,0,0,174650,8.0,13,1,7.0,3,5,0,4,3,3,2.0,2.0,2.0
4,0,2,1,3,2,1,1007,0,1,7,1,73510,8.0,20,1,34.0,3,1,0,0,3,4,3.0,1.0,3.0
2,0,0,1,14,3,4,1008,1,1,6,0,108200,5.0,12,0,11.0,2,9,1,7,3,3,4.0,2.0,2.0
3,0,2,1,5,3,3,1009,1,1,8,0,121690,0.0,19,0,5.0,2,5,0,4,3,3,3.0,1.0,3.0
2,0,0,1,7,4,3,1010,0,1,6,0,196260,0.0,21,0,15.0,5,15,0,7,2,4,4.0,3.0,3.0
4,0,0,1,10,4,3,1011,1,2,0,1,20700,4.0,13,2,27.0,2,3,0,2,4,3,1.0,3.0,2.0
3,0,2,2,16,2,2,1012,0,1,2,2,67820,0.0,16,1,9.0,2,9,1,8,3,3,2.0,4.0,3.0
2,0,2,2,10,2,1,1013,0,5,7,2,77790,5.0,12,1,6.0,2,2,2,2,3,3,4.0,4.0,3.0
1,1,2,2,1,2,2,1014,1,5,0,2,27910,0.0,14,0,1.0,3,1,1,0,4,3,2.0,2.0,3.0
2,0,2,1,8,2,1,1015,0,2,7,1,32010,0.0,11,1,5.0,3,5,0,4,2,3,4.0,3.0,3.0
1,1,2,1,1,3,4,1016,1,4,6,1,49680,0.0,14,0,1.0,3,1,0,0,3,3,3.0,1.0,3.0
2,0,2,1,8,5,1,1017,1,5,7,1,131200,1.0,12,2,13.0,6,12,5,7,2,3,1.0,4.0,3.0
4,0,2,1,1,4,1,1018,0,1,3,1,40330,2.0,14,0,15.0,2,2,2,2,3,3,1.0,3.0,3.0
2,0,2,1,24,1,1,1019,1,2,7,1,32910,0.0,16,3,5.0,2,5,0,3,2,3,2.0,2.0,3.0
3,0,2,2,3,4,2,1020,0,1,8,0,42720,7.0,13,0,24.0,3,2,2,2,4,3,3.0,4.0,3.0
2,0,2,1,27,3,5,1021,0,4,6,1,50560,7.0,12,0,15.0,2,12,5,7,2,3,4.0,1.0,3.0
3,1,1,2,10,4,1,1022,1,1,6,0,28440,1.0,12,0,6.0,2,5,2,3,4,3,3.0,2.0,2.0
2,0,2,1,19,2,5,1023,1,2,7,0,27030,2.0,14,0,19.0,2,10,4,7,3,3,3.0,2.0,2.0
2,1,2,1,15,4,1,1024,1,2,6,2,19040,0.0,22,1,10.0,4,10,7,7,3,4,3.0,4.0,3.0
